reward_per_session,reward_per_switch,switches,model,cond
0.6957123098201936,7.397058823529412,68,Mouse,80-20
0.7125,9.5,60,Mouse,80-20
0.7003891050583657,10.384615384615385,52,Mouse,80-20
0.696078431372549,13.209302325581396,43,Mouse,80-20
0.7420333839150227,12.868421052631579,38,Mouse,80-20
0.7255871446229913,10.482142857142858,56,Mouse,80-20
0.6649145860709592,9.547169811320755,53,Mouse,80-20
0.6733167082294265,12.272727272727273,44,Mouse,80-20
0.6648590021691974,6.811111111111111,90,Mouse,80-20
0.6960526315789474,16.03030303030303,33,Mouse,80-20
0.6520618556701031,10.326530612244898,49,Mouse,80-20
0.6815980629539952,16.085714285714285,35,Mouse,80-20
0.7204301075268817,19.451612903225808,31,Mouse,80-20
0.7313797313797313,13.021739130434783,46,Mouse,80-20
0.6535031847133758,9.160714285714286,56,Mouse,80-20
0.660122699386503,4.2362204724409445,127,Mouse,80-20
0.7416563658838071,19.35483870967742,31,Mouse,80-20
0.7263681592039801,16.22222222222222,36,Mouse,80-20
0.7074829931972789,14.344827586206897,29,Mouse,80-20
0.7014705882352941,14.029411764705882,34,Mouse,80-20
0.7118226600985221,10.90566037735849,53,Mouse,80-20
0.7314487632508834,11.5,54,Mouse,80-20
0.7167553191489362,17.966666666666665,30,Mouse,80-20
0.7257240204429302,8.875,48,Mouse,80-20
0.7256756756756757,18.517241379310345,29,Mouse,80-20
0.7367088607594937,16.166666666666668,36,Mouse,80-20
0.7010178117048346,8.348484848484848,66,Mouse,80-20
0.700709219858156,9.320754716981131,53,Mouse,80-20
0.6935123042505593,10.333333333333334,60,Mouse,80-20
0.7403314917127072,8.121212121212121,66,Mouse,80-20
0.7217928902627512,11.390243902439025,41,Mouse,80-20
0.6950819672131148,8.653061224489797,49,Mouse,80-20
0.7234375,9.851063829787234,47,Mouse,80-20
0.684971098265896,6.970588235294118,68,Mouse,80-20
0.6939281288723668,7.17948717948718,78,Mouse,80-20
0.7052186177715092,7.6923076923076925,65,Mouse,80-20
0.7148760330578512,10.8125,48,Mouse,80-20
0.7291220556745182,8.844155844155845,77,Mouse,80-20
0.7069716775599129,8.215189873417721,79,Mouse,80-20
0.7034632034632035,13.26530612244898,49,Mouse,80-20
0.6854838709677419,6.538461538461538,52,Mouse,80-20
0.6143344709897611,8.181818181818182,44,Mouse,80-20
0.6928571428571428,5.791044776119403,67,Mouse,80-20
0.7006472491909385,7.216666666666667,60,Mouse,80-20
0.6916376306620209,8.10204081632653,49,Mouse,80-20
0.6191135734072022,6.208333333333333,72,Mouse,80-20
0.7302631578947368,9.061224489795919,49,Mouse,80-20
0.7238095238095238,9.12,50,Mouse,80-20
0.7164429530201343,9.085106382978724,47,Mouse,80-20
0.7245696400625978,13.617647058823529,34,Mouse,80-20
0.687964338781575,10.065217391304348,46,Mouse,80-20
0.7012987012987013,11.675675675675675,37,Mouse,80-20
0.7176684881602914,8.040816326530612,49,Mouse,80-20
0.7401315789473685,15.517241379310345,29,Mouse,80-20
0.6916488222698073,6.09433962264151,53,Mouse,80-20
0.6221198156682027,5.1923076923076925,78,Mouse,80-20
0.6726384364820847,7.245614035087719,57,Mouse,80-20
0.7099125364431487,7.268656716417911,67,Mouse,80-20
0.7146892655367232,12.341463414634147,41,Mouse,80-20
0.6684210526315789,10.583333333333334,48,Mouse,80-20
0.7166437414030261,10.215686274509803,51,Mouse,80-20
0.6773255813953488,8.321428571428571,56,Mouse,80-20
0.6940966010733453,7.76,100,Mouse,80-20
0.727741935483871,14.842105263157896,38,Mouse,80-20
0.6736214605067065,7.793103448275862,58,Mouse,80-20
0.6875,13.391304347826088,46,Mouse,80-20
0.6621438263229308,8.413793103448276,58,Mouse,80-20
0.6345885634588564,9.680851063829786,47,Mouse,80-20
0.6872852233676976,10.344827586206897,58,Mouse,80-20
0.6633663366336634,15.314285714285715,35,Mouse,80-20
0.7024221453287197,16.026315789473685,38,Mouse,80-20
0.6908442330558858,20.03448275862069,29,Mouse,80-20
0.6923990498812351,17.666666666666668,33,Mouse,80-20
0.7187878787878788,17.96969696969697,33,Mouse,80-20
0.714859437751004,22.967741935483872,31,Mouse,80-20
0.6699147381242387,17.741935483870968,31,Mouse,80-20
0.7282352941176471,44.214285714285715,14,Mouse,80-20
0.6663254861821903,9.863636363636363,66,Mouse,80-20
0.7072538860103627,21.84,25,Mouse,80-20
0.6475826972010178,11.837209302325581,43,Mouse,80-20
0.6716417910447762,12.0,45,Mouse,80-20
0.7011349306431274,15.027027027027026,37,Mouse,80-20
0.6687370600414079,5.046875,64,Mouse,80-20
0.6979969183359014,8.089285714285714,56,Mouse,80-20
0.6637055837563451,9.017241379310345,58,Mouse,80-20
0.7117224880382775,11.018518518518519,54,Mouse,80-20
0.694019471488178,6.397435897435898,78,Mouse,80-20
0.653566229985444,7.483333333333333,60,Mouse,80-20
0.6975308641975309,6.420454545454546,88,Mouse,80-20
0.7231638418079096,25.6,20,Mouse,80-20
0.7326869806094183,18.24137931034483,29,Mouse,80-20
0.7356770833333334,12.840909090909092,44,Mouse,80-20
0.6648351648351648,16.689655172413794,29,Mouse,80-20
0.6779411764705883,14.40625,32,Mouse,80-20
0.7274011299435028,17.166666666666668,30,Mouse,80-20
0.7123695976154992,9.755102040816327,49,Mouse,80-20
0.7293144208037825,15.425,40,Mouse,80-20
0.702774108322325,19.703703703703702,27,Mouse,80-20
0.6858407079646017,17.22222222222222,36,Mouse,80-20
0.7132075471698113,24.652173913043477,23,Mouse,80-20
0.6805555555555556,13.78125,32,Mouse,80-20
0.7086705202312139,15.325,40,Mouse,80-20
0.7284263959390863,12.755555555555556,45,Mouse,80-20
0.7363636363636363,17.71875,32,Mouse,80-20
0.7425997425997426,23.08,25,Mouse,80-20
0.6829896907216495,11.041666666666666,48,Mouse,80-20
0.71267252195734,10.716981132075471,53,Mouse,80-20
0.6198198198198198,4.410256410256411,78,Mouse,80-20
0.6826241134751773,4.63855421686747,83,Mouse,80-20
0.6810730253353204,11.717948717948717,39,Mouse,80-20
0.6110344827586207,9.040816326530612,49,Mouse,80-20
0.7026647966339411,17.275862068965516,29,Mouse,80-20
0.6860795454545454,13.054054054054054,37,Mouse,80-20
0.7010159651669086,7.666666666666667,63,Mouse,80-20
0.7245033112582782,15.628571428571428,35,Mouse,80-20
0.6972343522561864,19.958333333333332,24,Mouse,80-20
0.7111756168359942,15.3125,32,Mouse,80-20
0.6842105263157895,15.757575757575758,33,Mouse,80-20
0.6988130563798219,20.47826086956522,23,Mouse,80-20
0.7210884353741497,10.816326530612244,49,Mouse,80-20
0.6564625850340136,17.545454545454547,22,Mouse,80-20
0.7075471698113207,17.5,30,Mouse,80-20
0.6661608497723824,25.823529411764707,17,Mouse,80-20
0.7121621621621622,21.958333333333332,24,Mouse,80-20
0.7212121212121212,49.583333333333336,12,Mouse,80-20
0.7005988023952096,25.434782608695652,23,Mouse,80-20
0.7228661749209695,21.4375,32,Mouse,80-20
0.7066167290886392,19.517241379310345,29,Mouse,80-20
0.7174721189591078,30.473684210526315,19,Mouse,80-20
