cond,metric,H,p,p_fdr
70-30,reward_per_session,90.82957719059165,1.890635970096051e-20,1.8906359700960507e-20
70-30,reward_per_switch,518.1120851043337,3.1145134872102865e-113,1.868708092326172e-112
70-30,switches,504.4612376756862,2.868362735353581e-110,8.605088206060743e-110
80-20,reward_per_session,142.34565482577256,1.2303645036687686e-31,1.4764374044025221e-31
80-20,reward_per_switch,415.21748748518155,6.865437181564492e-91,1.3730874363128984e-90
80-20,switches,406.8800822443123,4.4372381930596496e-89,6.655857289589475e-89
