model,cond,reward_per_session,reward_per_switch,switches
HMM,70-30,0.611672082011794,2.651645618007083,181.595
HMM,80-20,0.7157261255356592,4.747255874343091,114.01886792452831
Mouse,70-30,0.5951123309638562,11.959708744300094,51.6
Mouse,80-20,0.6955310816338945,12.665734917609626,49.0440251572327
RFLR,70-30,0.5954536837401225,8.546039267130917,55.94
RFLR,80-20,0.6890492311642605,9.855665598846242,53.918238993710695
Sticky HMM,70-30,0.62253329927584,17.15488950487382,30.34
Sticky HMM,80-20,0.7287964872284115,22.02206547132752,26.446540880503143
