reward_per_session,reward_per_switch,switches,model,cond
0.6399394856278366,7.169491525423729,59,RFLR,80-20
0.7294117647058823,11.872340425531915,47,RFLR,80-20
0.6952789699570815,11.045454545454545,44,RFLR,80-20
0.6908396946564885,10.055555555555555,54,RFLR,80-20
0.6720430107526881,8.771929824561404,57,RFLR,80-20
0.6611177170035671,8.553846153846154,65,RFLR,80-20
0.6694411414982164,7.712328767123288,73,RFLR,80-20
0.7118155619596542,10.081632653061224,49,RFLR,80-20
0.7009222661396575,12.372093023255815,43,RFLR,80-20
0.7265822784810126,12.755555555555556,45,RFLR,80-20
0.6743886743886743,12.78048780487805,41,RFLR,80-20
0.6842800528401585,8.931034482758621,58,RFLR,80-20
0.6794478527607362,10.804878048780488,41,RFLR,80-20
0.7192192192192193,9.58,50,RFLR,80-20
0.632446134347275,5.483516483516484,91,RFLR,80-20
0.6645807259073843,9.31578947368421,57,RFLR,80-20
0.6555716353111433,6.661764705882353,68,RFLR,80-20
0.6457516339869281,7.057142857142857,70,RFLR,80-20
0.7360544217687075,10.20754716981132,53,RFLR,80-20
0.654891304347826,7.1940298507462686,67,RFLR,80-20
0.6920332936979786,10.210526315789474,57,RFLR,80-20
0.6742138364779874,7.549295774647887,71,RFLR,80-20
0.7099447513812155,9.017543859649123,57,RFLR,80-20
0.6945668135095447,14.333333333333334,33,RFLR,80-20
0.7243243243243244,11.404255319148936,47,RFLR,80-20
0.6885474860335196,10.717391304347826,46,RFLR,80-20
0.6870653685674548,10.977777777777778,45,RFLR,80-20
0.737467018469657,17.46875,32,RFLR,80-20
0.6960297766749379,9.508474576271187,59,RFLR,80-20
0.6636904761904762,8.25925925925926,54,RFLR,80-20
0.71004243281471,8.229508196721312,61,RFLR,80-20
0.7471264367816092,14.857142857142858,35,RFLR,80-20
0.6111801242236025,6.56,75,RFLR,80-20
0.7021276595744681,9.339622641509434,53,RFLR,80-20
0.7251243781094527,12.955555555555556,45,RFLR,80-20
0.6200762388818297,5.951219512195122,82,RFLR,80-20
0.7212903225806452,8.469696969696969,66,RFLR,80-20
0.6966580976863753,13.897435897435898,39,RFLR,80-20
0.5794797687861272,5.647887323943662,71,RFLR,70-30
0.596401028277635,5.658536585365853,82,RFLR,70-30
0.60625814863103,6.36986301369863,73,RFLR,70-30
