Condition,Model,Mean_LL,Alpha_base,Alpha_std,Gamma,Gamma_std,N_steps
80-20,RFLR,-0.18156894404939278,1.217,0.016,0.757,0.03,1
80-20,HMM_sticky,-0.2281737702953956,2.927,0.047,2.184,0.049,1
80-20,HMM_reset,-0.1826812565705164,1.035,0.011,0.546,0.006,20
80-20,FQ_Value_Gated,-0.22040213635528996,2.077,0.01,0.0,0.0,2
70-30,RFLR,-0.19682612437736632,1.58,0.022,0.649,0.022,1
70-30,HMM_sticky,-0.23928354389388387,5.0,0.0,2.905,0.03,1
70-30,HMM_reset,-0.20240857148824343,1.196,0.015,0.449,0.007,20
70-30,FQ_Value_Gated,-0.22775998896071473,2.172,0.007,0.0,0.0,2
